,aspect,base_category,MAIN_CATEGORY
2162,satnav system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
2163,gas struts,chassis / structural,STRUCTURAL
2164,parking sensors,parking,FUNCTIONAL / UTILITY FEATURES
2165,height from ground,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
2166,pulling power,engine / power train,POWERTRAIN / PERFORMANCE
2167,normal mode sound,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2168,downshift,transmission,POWERTRAIN / PERFORMANCE
2169,quattro system,drive,POWERTRAIN / PERFORMANCE
2170,exterior design,exterior materials & finish,EXTERIOR / STYLING / DESIGN
2171,pillars,chassis / structural,STRUCTURAL
2172,color,design,EMOTIONAL / SENSORY / VISUAL
2173,ride,drive,POWERTRAIN / PERFORMANCE
2174,automatic tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2175,spoiler,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2176,under storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
2177,sports mode gearbox,transmission,POWERTRAIN / PERFORMANCE
2178,hard corners,cornering,HANDLING / DYNAMICS
2179,drive everyday,drive,POWERTRAIN / PERFORMANCE
2180,passenger seat,seats,INTERIOR / COMFORT / ERGONOMICS
2181,start up,engine / power train,POWERTRAIN / PERFORMANCE
2182,middle,passenger space,INTERIOR / COMFORT / ERGONOMICS
2183,offroad grip,traction / stability,HANDLING / DYNAMICS
2184,driving position,drive,POWERTRAIN / PERFORMANCE
2185,blow,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
2186,gt,model / generic car terms,GENERAL INFORMATION
2187,offroad,road terrain,HANDLING / DYNAMICS
2188,sports steering,steering,HANDLING / DYNAMICS
2189,speeds,acceleration,POWERTRAIN / PERFORMANCE
2190,green color,design,EMOTIONAL / SENSORY / VISUAL
2191,wind whistle,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2192,technology pack processor,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
2193,dashes,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2194,parking system,parking,FUNCTIONAL / UTILITY FEATURES
2195,front trunk,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2196,acceleration,acceleration,POWERTRAIN / PERFORMANCE
2197,auto emergency braking,brake,HANDLING / DYNAMICS
2198,driving through central london,drive,POWERTRAIN / PERFORMANCE
2199,exhaust system,exhaust,POWERTRAIN / PERFORMANCE
2200,middle seat headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
2201,rear seat legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
2202,remote key operations,driver assistance,SAFETY
2203,back door,doors,EXTERIOR / STYLING / DESIGN
2204,downforce,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
2205,practical,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2206,audio inputs,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2207,screen for air conditioning,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2208,detail,design,EMOTIONAL / SENSORY / VISUAL
2209,accents,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
2210,floor,interior,INTERIOR / COMFORT / ERGONOMICS
2211,twin turbo petrol torque,engine / power train,POWERTRAIN / PERFORMANCE
2212,carbon footprint,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2213,privacy glass,windows / glass,EXTERIOR / STYLING / DESIGN
2214,headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2215,m5,model / generic car terms,GENERAL INFORMATION
2216,dr selector,physical controls,INTERIOR / COMFORT / ERGONOMICS
2217,body structure,body class,EXTERIOR / STYLING / DESIGN
2218,middle seat,seats,INTERIOR / COMFORT / ERGONOMICS
2219,passenger in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
2220,motor,engine / power train,POWERTRAIN / PERFORMANCE
2221,a3,model / generic car terms,GENERAL INFORMATION
2222,control over driving,drive,POWERTRAIN / PERFORMANCE
2223,spring rate,suspension,HANDLING / DYNAMICS
2224,camera mirrors,mirrors,SAFETY
2225,center arm rest,seats,INTERIOR / COMFORT / ERGONOMICS
2226,quattro ultra system,drive,POWERTRAIN / PERFORMANCE
2227,gear selection,transmission,POWERTRAIN / PERFORMANCE
2228,extend front part seat,seats,INTERIOR / COMFORT / ERGONOMICS
2229,side finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
2230,boot door,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2231,bolsters on steering,steering,HANDLING / DYNAMICS
2232,comforts,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2233,acceleration,acceleration,POWERTRAIN / PERFORMANCE
2234,s3,model / generic car terms,GENERAL INFORMATION
2235,drive feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
2236,drive modes,driving dynamics / handling,HANDLING / DYNAMICS
2237,hybrid technology,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2238,passenger,passenger space,INTERIOR / COMFORT / ERGONOMICS
2239,super sideways,driving dynamics / handling,HANDLING / DYNAMICS
2240,riding,drive,POWERTRAIN / PERFORMANCE
2241,parcel shelf,storage & utility,FUNCTIONAL / UTILITY FEATURES
2242,security,safety,SAFETY
2243,rearward facing child seats,seats,INTERIOR / COMFORT / ERGONOMICS
2244,offroading traction control,traction / stability,HANDLING / DYNAMICS
2245,power,engine / power train,POWERTRAIN / PERFORMANCE
2246,reading lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2247,radio system,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2248,google earth,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
2249,door bin front,storage & utility,FUNCTIONAL / UTILITY FEATURES
2250,plastics,exterior materials & finish,EXTERIOR / STYLING / DESIGN
2251,c pillar,chassis / structural,STRUCTURAL
2252,air intake gt-r,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
2253,front seat set,seats,INTERIOR / COMFORT / ERGONOMICS
2254,folds in back seat,seats,INTERIOR / COMFORT / ERGONOMICS
2255,springs,suspension,HANDLING / DYNAMICS
2256,phone cradle,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
2257,priced,value / cost,DISTANCE / MEASUREMENT /  COST
2258,comfort suspension,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2259,navigation,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
2260,netted areas,storage & utility,FUNCTIONAL / UTILITY FEATURES
2261,carbon fibre,exterior materials & finish,EXTERIOR / STYLING / DESIGN
2262,track driving,driving dynamics / handling,HANDLING / DYNAMICS
2263,body control,body class,EXTERIOR / STYLING / DESIGN
2264,switch between screens,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2265,front,front section,EXTERIOR / STYLING / DESIGN
2266,tight spaces,passenger space,INTERIOR / COMFORT / ERGONOMICS
2267,tied down points,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2268,twisty road,road terrain,HANDLING / DYNAMICS
2269,upgraded command system screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2270,a5,model / generic car terms,GENERAL INFORMATION
2271,simplicity,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2272,front quarters,passenger space,INTERIOR / COMFORT / ERGONOMICS
2273,folding mirrors,mirrors,SAFETY
2274,safety technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
2275,carrying three in back,passenger space,INTERIOR / COMFORT / ERGONOMICS
2276,miles an hour,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
2277,adaptive suspension comfort mode,driving dynamics / handling,HANDLING / DYNAMICS
2278,rear passengers,passenger space,INTERIOR / COMFORT / ERGONOMICS
2279,deck lid,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2280,writing pad,storage & utility,FUNCTIONAL / UTILITY FEATURES
2281,bmw m3,model / generic car terms,GENERAL INFORMATION
2282,door tops,doors,EXTERIOR / STYLING / DESIGN
2283,undulations of the road,road terrain,HANDLING / DYNAMICS
2284,seating flexibility,seats,INTERIOR / COMFORT / ERGONOMICS
2285,a6 500e f40,model / generic car terms,GENERAL INFORMATION
2286,knee rooms,passenger space,INTERIOR / COMFORT / ERGONOMICS
2287,spare wheel,wheels & tyres,HANDLING / DYNAMICS
2288,three action,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
2289,traffic,road terrain,HANDLING / DYNAMICS
2290,range,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2291,throb,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2292,corner handle,cornering,HANDLING / DYNAMICS
2293,cable,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
2294,two litre tf excitable petrol,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2295,back style,design,EMOTIONAL / SENSORY / VISUAL
2296,going reverse,transmission,POWERTRAIN / PERFORMANCE
2297,no underfloor storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
2298,carrying three,passenger space,INTERIOR / COMFORT / ERGONOMICS
2299,philosophy,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
2300,entertainment system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2301,a6 back,rear section,EXTERIOR / STYLING / DESIGN
2302,power distribution,engine / power train,POWERTRAIN / PERFORMANCE
2303,recline,seats,INTERIOR / COMFORT / ERGONOMICS
2304,legs,passenger space,INTERIOR / COMFORT / ERGONOMICS
2305,carrying three abreast,passenger space,INTERIOR / COMFORT / ERGONOMICS
2306,optional backup camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
2307,parallel parking,parking,FUNCTIONAL / UTILITY FEATURES
2308,s90,model / generic car terms,GENERAL INFORMATION
2309,audi q7,model / generic car terms,GENERAL INFORMATION
2310,overall look,design,EMOTIONAL / SENSORY / VISUAL
2311,optional led 19 system,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2312,hook,storage & utility,FUNCTIONAL / UTILITY FEATURES
2313,dynamic engine,engine / power train,POWERTRAIN / PERFORMANCE
2314,leg side bolsters,seats,INTERIOR / COMFORT / ERGONOMICS
2315,dashboard,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2316,touch pad swivel world system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2317,assist,driver assistance,SAFETY
2318,extendable seat base,seats,INTERIOR / COMFORT / ERGONOMICS
2319,tire rim,wheels & tyres,HANDLING / DYNAMICS
2320,battery management system,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2321,interior overall,interior,INTERIOR / COMFORT / ERGONOMICS
2322,diesel model fuel tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2323,servicing plan,value / cost,DISTANCE / MEASUREMENT /  COST
2324,unfamiliar back roads,road terrain,HANDLING / DYNAMICS
2325,gap in the back,build quality / construction,STRUCTURAL
2326,turbo petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
2327,a 35,model / generic car terms,GENERAL INFORMATION
2328,parking center switch,parking,FUNCTIONAL / UTILITY FEATURES
2329,grip,traction / stability,HANDLING / DYNAMICS
2330,blade panel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
2331,mastering the system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2332,0 to 60 time,acceleration,POWERTRAIN / PERFORMANCE
2333,silhouette,design,EMOTIONAL / SENSORY / VISUAL
2334,switches and dials,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2335,maximum cargo space,passenger space,INTERIOR / COMFORT / ERGONOMICS
2336,van,body type,EXTERIOR / STYLING / DESIGN
2337,steering wheel adjustment,steering,HANDLING / DYNAMICS
2338,phone box,storage & utility,FUNCTIONAL / UTILITY FEATURES
2339,entry level petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
2340,rear bumper,bumper,EXTERIOR / STYLING / DESIGN
2341,quality,quality & durability,GENERAL INFORMATION
2342,drive,drive,POWERTRAIN / PERFORMANCE
2343,e class,model / generic car terms,GENERAL INFORMATION
2344,back digital climate control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
2345,rail,chassis / structural,STRUCTURAL
2346,straight line,road terrain,HANDLING / DYNAMICS
2347,display screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2348,system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2349,beam,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2350,seat backs,seats,INTERIOR / COMFORT / ERGONOMICS
2351,handbrake,brake,HANDLING / DYNAMICS
2352,counter,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2353,sport steering,steering,HANDLING / DYNAMICS
2354,mercedes-benz e class,model / generic car terms,GENERAL INFORMATION
2355,minivan,body type,EXTERIOR / STYLING / DESIGN
2356,center screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2357,gear change sound,transmission,POWERTRAIN / PERFORMANCE
2358,performance exhaust,exhaust,POWERTRAIN / PERFORMANCE
2359,children,passenger space,INTERIOR / COMFORT / ERGONOMICS
2360,key less entry,doors,EXTERIOR / STYLING / DESIGN
2361,steering ratio ride,steering,HANDLING / DYNAMICS
2362,instrument cluster,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2363,sports suspension,suspension,HANDLING / DYNAMICS
2364,tire noise,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2365,shifts,transmission,POWERTRAIN / PERFORMANCE
2366,corner balance,traction / stability,HANDLING / DYNAMICS
2367,comfort ico plus,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2368,child seat,seats,INTERIOR / COMFORT / ERGONOMICS
2369,sit,seats,INTERIOR / COMFORT / ERGONOMICS
2370,side wall,side section,EXTERIOR / STYLING / DESIGN
2371,pillar for leaning on window,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2372,power delivery,engine / power train,POWERTRAIN / PERFORMANCE
2373,performance level,performance,POWERTRAIN / PERFORMANCE
2374,stops,brake,HANDLING / DYNAMICS
2375,back light bar,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2376,engine output,engine / power train,POWERTRAIN / PERFORMANCE
2377,front seats,seats,INTERIOR / COMFORT / ERGONOMICS
2378,gap,build quality / construction,STRUCTURAL
2379,e400 twin turbo v six power,engine / power train,POWERTRAIN / PERFORMANCE
2380,composure,driving dynamics / handling,HANDLING / DYNAMICS
2381,electrical system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2382,dynamism,driving dynamics / handling,HANDLING / DYNAMICS
2383,anti-roll bars,traction / stability,HANDLING / DYNAMICS
2384,8 siris,model / generic car terms,GENERAL INFORMATION
2385,right hand drive steering,steering,HANDLING / DYNAMICS
2386,car storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
2387,central screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2388,rain sensing windshield wiper,windscreen / wipers,SAFETY
2389,design ethos,design,EMOTIONAL / SENSORY / VISUAL
2390,front climbing and back,passenger space,INTERIOR / COMFORT / ERGONOMICS
2391,manual gearbox,transmission,POWERTRAIN / PERFORMANCE
2392,event,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
2393,construction,build quality / construction,STRUCTURAL
2394,electronic stability off,traction / stability,HANDLING / DYNAMICS
2395,tail lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2396,panoramic moon,roof,EXTERIOR / STYLING / DESIGN
2397,finishing,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
2398,ionic range,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2399,foot walls,seats,INTERIOR / COMFORT / ERGONOMICS
2400,seat up,seats,INTERIOR / COMFORT / ERGONOMICS
2401,mpg sports mode,driving dynamics / handling,HANDLING / DYNAMICS
2402,packs,packages / trims / variants,GENERAL INFORMATION
2403,spec,options & specifications,GENERAL INFORMATION
2404,hatchback,body type,EXTERIOR / STYLING / DESIGN
2405,persona,design,EMOTIONAL / SENSORY / VISUAL
2406,sun visor,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2407,public charges,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2408,especially back,rear section,EXTERIOR / STYLING / DESIGN
2409,centre of gravity,weight,DISTANCE / MEASUREMENT /  COST
2410,gearshift,transmission,POWERTRAIN / PERFORMANCE
2411,chairs,seats,INTERIOR / COMFORT / ERGONOMICS
2412,camera angle,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
2413,pockets in backseat,storage & utility,FUNCTIONAL / UTILITY FEATURES
2414,f40 5 a.m. g brakes,brake,HANDLING / DYNAMICS
2415,normal screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2416,performance power,engine / power train,POWERTRAIN / PERFORMANCE
2417,weight distribution,weight,DISTANCE / MEASUREMENT /  COST
2418,manual mode,transmission,POWERTRAIN / PERFORMANCE
2419,back wheel,wheels & tyres,HANDLING / DYNAMICS
2420,rear seat roadster,seats,INTERIOR / COMFORT / ERGONOMICS
2421,hybrid model,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2422,back side seats,seats,INTERIOR / COMFORT / ERGONOMICS
2423,car seat,seats,INTERIOR / COMFORT / ERGONOMICS
2424,new three series,model / generic car terms,GENERAL INFORMATION
2425,2.5 litre petrol engine,engine / power train,POWERTRAIN / PERFORMANCE
2426,battery upgrade,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2427,dry road,road terrain,HANDLING / DYNAMICS
2428,setup,functionality & features,FUNCTIONAL / UTILITY FEATURES
2429,a4 quatro,model / generic car terms,GENERAL INFORMATION
2430,auto driving,drive,POWERTRAIN / PERFORMANCE
2431,economy,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
2432,legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
2433,load lifter,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2434,audi a5,model / generic car terms,GENERAL INFORMATION
2435,new sl,model / generic car terms,GENERAL INFORMATION
2436,base,chassis / structural,STRUCTURAL
2437,back head room,passenger space,INTERIOR / COMFORT / ERGONOMICS
2438,interior sophistication,interior,INTERIOR / COMFORT / ERGONOMICS
2439,auto mode,driving dynamics / handling,HANDLING / DYNAMICS
2440,side,side section,EXTERIOR / STYLING / DESIGN
2441,sporting events,functionality & features,FUNCTIONAL / UTILITY FEATURES
2442,upgraded professional satnav,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
2443,mercedes e class coupe a,model / generic car terms,GENERAL INFORMATION
2444,format,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2445,back seat elongated bracket,seats,INTERIOR / COMFORT / ERGONOMICS
2446,lifespan,value / cost,DISTANCE / MEASUREMENT /  COST
2447,design,design,EMOTIONAL / SENSORY / VISUAL
2448,upgraded satellite system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
2449,s class,model / generic car terms,GENERAL INFORMATION
2450,lines,design,EMOTIONAL / SENSORY / VISUAL
2451,black stitching,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
2452,second generation,packages / trims / variants,GENERAL INFORMATION
2453,transmission tunnel,transmission,POWERTRAIN / PERFORMANCE
2454,menu,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2455,electronics,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
2456,sounds,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2457,magic vision control,visibility & view,SAFETY
2458,automatic gearbox,transmission,POWERTRAIN / PERFORMANCE
2459,dynamic sport mode,driving dynamics / handling,HANDLING / DYNAMICS
2460,drive in narrow streets,drive,POWERTRAIN / PERFORMANCE
2461,a5 sport back,model / generic car terms,GENERAL INFORMATION
2462,front door handle,doors,EXTERIOR / STYLING / DESIGN
2463,s three price,value / cost,DISTANCE / MEASUREMENT /  COST
2464,pillar,chassis / structural,STRUCTURAL
2465,newest s class price,value / cost,DISTANCE / MEASUREMENT /  COST
2466,standard kit,options & specifications,GENERAL INFORMATION
2467,set up,functionality & features,FUNCTIONAL / UTILITY FEATURES
2468,climate control knobs,physical controls,INTERIOR / COMFORT / ERGONOMICS
2469,wood grain,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
2470,memory settings,functionality & features,FUNCTIONAL / UTILITY FEATURES
2471,bay,engine / power train,POWERTRAIN / PERFORMANCE
2472,powerful,engine / power train,POWERTRAIN / PERFORMANCE
2473,rapid charging,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2474,store,storage & utility,FUNCTIONAL / UTILITY FEATURES
2475,android auto,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
2476,visors,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2477,green screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2478,manual mode transmission,transmission,POWERTRAIN / PERFORMANCE
2479,purchase,value / cost,DISTANCE / MEASUREMENT /  COST
2480,insurance price,value / cost,DISTANCE / MEASUREMENT /  COST
2481,socket,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
2482,roof line,roof,EXTERIOR / STYLING / DESIGN
2483,automatic braking,brake,HANDLING / DYNAMICS
2484,numbers,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
2485,carrying larger items,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2486,stick shift,transmission,POWERTRAIN / PERFORMANCE
2487,graphics card,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2488,bottom,chassis / structural,STRUCTURAL
2489,driving mode,drive,POWERTRAIN / PERFORMANCE
2490,button placement,physical controls,INTERIOR / COMFORT / ERGONOMICS
2491,tailpipes,exhaust,POWERTRAIN / PERFORMANCE
2492,power dependability,engine / power train,POWERTRAIN / PERFORMANCE
2493,bmw entertainment system,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2494,headlining,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
2495,sound system,audio,TECHNOLOGY / ELECTRONICS / SOFTWARE
2496,footprint,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
2497,performance drivability,driving dynamics / handling,HANDLING / DYNAMICS
2498,ambient lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2499,current style,design,EMOTIONAL / SENSORY / VISUAL
2500,corner acceleration,cornering,HANDLING / DYNAMICS
2501,step up,value / cost,DISTANCE / MEASUREMENT /  COST
2502,deck,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2503,f 30,model / generic car terms,GENERAL INFORMATION
2504,automatic emergency breaking,brake,HANDLING / DYNAMICS
2505,supportive gas struts,seats,INTERIOR / COMFORT / ERGONOMICS
2506,seat pulling back,seats,INTERIOR / COMFORT / ERGONOMICS
2507,shelf,storage & utility,FUNCTIONAL / UTILITY FEATURES
2508,led lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2509,leg room,passenger space,INTERIOR / COMFORT / ERGONOMICS
2510,rs3,model / generic car terms,GENERAL INFORMATION
2511,engine,engine / power train,POWERTRAIN / PERFORMANCE
2512,wireless charging,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
2513,winding mountain roads,road terrain,HANDLING / DYNAMICS
2514,getting stuff in and out,boot / cargo,FUNCTIONAL / UTILITY FEATURES
2515,digital drivers display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2516,petrol usage,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2517,linearity,acceleration,POWERTRAIN / PERFORMANCE
2518,precision,driving dynamics / handling,HANDLING / DYNAMICS
2519,s8,model / generic car terms,GENERAL INFORMATION
2520,lower dash plastic,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2521,lock,keys & lock,SAFETY
2522,digital climate control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
2523,body roll,body class,EXTERIOR / STYLING / DESIGN
2524,underfloor storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
2525,gear stuff,transmission,POWERTRAIN / PERFORMANCE
2526,cars,generic description & miscellaneous,GENERAL INFORMATION
2527,power plant,engine / power train,POWERTRAIN / PERFORMANCE
2528,grips,traction / stability,HANDLING / DYNAMICS
2529,petrol,fuel / energy / charging,POWERTRAIN / PERFORMANCE
2530,view out,visibility & view,SAFETY
2531,silver screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2532,door close,doors,EXTERIOR / STYLING / DESIGN
2533,braking,brake,HANDLING / DYNAMICS
2534,launch control function,acceleration,POWERTRAIN / PERFORMANCE
2535,small bump,road terrain,HANDLING / DYNAMICS
2536,x two,model / generic car terms,GENERAL INFORMATION
2537,experience in town (drive),drive,POWERTRAIN / PERFORMANCE
2538,cruise control system,driver assistance,SAFETY
2539,seat belt,seats,INTERIOR / COMFORT / ERGONOMICS
2540,map lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2541,quattro drive system,drive,POWERTRAIN / PERFORMANCE
2542,shapes around instrument,design,EMOTIONAL / SENSORY / VISUAL
2543,amber lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2544,backup camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
2545,coat hooks,storage & utility,FUNCTIONAL / UTILITY FEATURES
2546,front practicality,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2547,traffic data,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
2548,analog dials,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2549,two keys,keys & lock,SAFETY
2550,x drive system,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
2551,rear view mirror,visibility & view,SAFETY
2552,one plastic,exterior materials & finish,EXTERIOR / STYLING / DESIGN
2553,cupholders,storage & utility,FUNCTIONAL / UTILITY FEATURES
2554,pedal configuration,brake,HANDLING / DYNAMICS
2555,traction control system,traction / stability,HANDLING / DYNAMICS
2556,sports mode,driving dynamics / handling,HANDLING / DYNAMICS
2557,back seats,seats,INTERIOR / COMFORT / ERGONOMICS
2558,g wagon,model / generic car terms,GENERAL INFORMATION
2559,steering resistance,steering,HANDLING / DYNAMICS
2560,functions,functionality & features,FUNCTIONAL / UTILITY FEATURES
2561,cold weather,road terrain,HANDLING / DYNAMICS
2562,modular system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2563,interior upgrades,interior,INTERIOR / COMFORT / ERGONOMICS
2564,mmi interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
2565,steering comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
2566,ledge,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
2567,bumpy road,road terrain,HANDLING / DYNAMICS
2568,mountain road,road terrain,HANDLING / DYNAMICS
2569,speed shift transmission,transmission,POWERTRAIN / PERFORMANCE
2570,media centre,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2571,pricier versions,value / cost,DISTANCE / MEASUREMENT /  COST
2572,fold down seats,seats,INTERIOR / COMFORT / ERGONOMICS
2573,optional heads up displays,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
2574,map,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
2575,trim pieces,exterior materials & finish,EXTERIOR / STYLING / DESIGN
2576,two axle air suspension,suspension,HANDLING / DYNAMICS
2577,carbon ceramic discs,brake,HANDLING / DYNAMICS
2578,driving in town,drive,POWERTRAIN / PERFORMANCE
2579,upshifts,transmission,POWERTRAIN / PERFORMANCE
2580,v8,engine / power train,POWERTRAIN / PERFORMANCE
2581,headrest,seats,INTERIOR / COMFORT / ERGONOMICS
2582,selector,physical controls,INTERIOR / COMFORT / ERGONOMICS
